name,category
HyClone射线处理新西兰加强型新生牛血清SH3,培养基
HyClone射线处理加强型小牛血清SH30087.03I,培养基
HyClone射线处理促生长型小牛血清SH30541.0,培养基
HyClone供体成年牛血清SH30075.03,培养基
HyClone FetalClone III 血清SH30109.03,培养基
HyClone FetalClone II 血清SH30066.03,培养基
HyClone热灭活FetalClone I 血清SH30080.03,培养基
Sigma胎牛血清（USDA认证）F0926,培养基
GibcoUSDA热灭活胎牛血清10438026,培养基
Gibco美国间充质干细胞专用胎牛血清1266202,培养基
Gibco北美透析型胎牛血清26400044,培养基
Sigma北美胎牛血清（美国）F6178,培养基
Sigma北美胎牛血清（美国）12103C,培养基
Sigma澳洲胎牛血清12003C,培养基
Sigma北美胎牛血清（加拿大）F1051,培养基
Sigma新西兰热灭活胎牛血清F8317,培养基
Sigma新西兰胎牛血清F8067,培养基
Sigma澳洲热灭活胎牛血清F8192,培养基
Gibco新西兰间充质干细胞专用胎牛血清12665,培养基
NCTC 109 Medium,培养基
MCDB 105 Medium,培养基
William's E Medium,培养基
CLC/Ipomoea EP Medium,培养基
Quoirin & Lepoivre Medium,培养基
Kao & Michayluk Medium,培养基
ITS+1 Supplement,培养基
SPITE Supplement,培养基
HT Media Supplement,培养基
HyClone昆虫细胞专用胎牛血清SH30070.03I,培养基
HyClone阿尔法牛血清SH30212.03,培养基
HyClone热灭活射线处理透析型胎牛血清SH300,培养基
HyClone人骨髓间质干细胞专用胎牛血清SH300,培养基
HyClone射线处理活性炭处理胎牛血清SH30068,培养基
HyClone热灭活中美胎牛血清SH30910.03HI,培养基
HyClone热灭活北美胎牛血清SH30088.03HI,培养基
HyClone射线处理南美胎牛血清SV30160.03IR,培养基
HyClone热灭活新西兰胎牛血清SH30406.02HI,培养基
HyClone热灭活胎牛血清SH30396.03HI,培养基
HyClone热灭活北美胎牛血清SH30071.03HI,培养基
HyClone热灭活北美胎牛血清SH30070.03HI,培养基
HyClone澳洲胎牛血清SH30084.03,培养基
Tobacco Callus Initiation Medium,培养基
NLN Medium,培养基
Heller Medium,培养基
Murashige & Miller Medium(Syngonium Stag,培养基
Murashige & Skoog Medium with MES,培养基
Kao-Michayluk Vitamins Solution,培养基
NLN Vitamin Solution,培养基
White Medium,培养基
Glasgow's Minimum Essential Medium,培养基
Chée & Pool (C2D) Vitis Medium,培养基
Ham's Nutrient Mixture F-10,培养基
D-22昆虫培养基,培养基
人血小板裂解液nLiven PR,培养基
蒸馏水Gibco 15230162,培养基
添加剂培养基Gibco 35050061,培养基
HEPES (1 M)培养基Gibco 15630080,培养基
胰蛋白酶-EDTA (0.25%)培养基Gibco 2520005,培养基
Grace's培养基Gibco 11605094,培养基
PBS(10X)培养基Gibco 70011044,培养基
HBSS培养基Gibco 14170112,培养基
DPBS培养基Gibco 14040133,培养基
还原血清培养基Gibco 31985070,培养基
Advanced DMEM/F-12培养基Gibco 12634010,培养基
Leibovitz's L-15培养基Gibco 11415064,培养基
Ham's F-12培养基Gibco 11765054,培养基
还原血清培养基Gibco 51985034,培养基
MEM培养基Gibco 41090036,培养基
DMEM/F-12培养基Gibco 11039021,培养基
RPMI 1640培养基Gibco 11835030,培养基
MEM培养基Gibco 12571063,培养基
MEM培养基Gibco 11095080,培养基
Ham's F-12培养基Gibco 31765035,培养基
DMEM/F-12培养基Gibco 10565018,培养基
DMEM培养基Gibco 10569010,培养基
DMEM培养基Gibco 31053028,培养基
DMEM培养基Gibco 11995065,培养基
DMEM培养基Gibco 10566016,培养基
Banana Multiplication Medium,培养基
Woody Plant Medium,培养基
Grace昆虫培养基,培养基
Gibco北美胎牛血清16000044,培养基
Eugonic LT 100 Broth,培养基
F-12K培养基ATCC 30-2004,培养基
RPMI-1640培养基ATCC 30-2001,培养基
McCoy's 5A培养基(ATCC 30-2007),培养基
Litvay Medium,培养基
PAN胎牛血清,培养基
TC-100昆虫细胞培养基,培养基
TNM-FH昆虫培养基,培养基
Gamborg B5 Vitamins,培养基
HyClone胎牛血清,培养基
Bovogen胎牛血清,培养基
Gemini铁离子加强胎牛血清100-510,培养基
Gemini脱脂胎牛血清900-123,培养基
Gemini活性炭/葡聚糖处理胎牛血清100-119,培养基
Gemini山羊血清100-109,培养基
Gemini猴血清100-152,培养基
Gemini猪血清100-115,培养基
Gemini北美胚胎干细胞专用胎牛血清100-525,培养基
Gemini小牛血清100-506,培养基
Gemini北美胎牛血清100-500,培养基
内皮细胞基础培养基,培养基
Sigma胎牛血清,培养基
Corning北美热灭活胎牛血清35-016-CV,培养基
Corning北美射线处理胎牛血清35-070-CV,培养基
Corning北美马血清35-030-CV,培养基
Sigma北美胎牛血清F2442,培养基
PAN山羊血清P30-1002,培养基
PAN大鼠血清P30-01901E,培养基
PAN新生牛血清P30-0402,培养基
PAN四环素调控系统专用胎牛血清P30-3602,培养基
PAN超低内毒素胎牛血清P30-5500,培养基
PAN热灭活胎牛血清P30-1902,培养基
PAN南美活性炭处理胎牛血清P30-2302,培养基
PAN胚胎干细胞专用胎牛血清P30-2602,培养基
PAN澳洲胎牛血清P40-39500,培养基
PAN（EU认证）特级胎牛血清P40-37500,培养基
PAN澳洲胎牛血清P30-1302,培养基
PAN澳洲胎牛血清P30-1306,培养基
Bovogen澳洲马血清SSHS-0.5,培养基
Bovogen澳洲胎牛血清SFBS,培养基
BI北美猪血清04-006-1A,培养基
BI北美热灭活成年牛血清04-123-1A,培养基
BI北美活性炭处理胎牛血清04-201-1A-US,培养基
BI北美热灭活胚胎干细胞专用胎牛血清04-222,培养基
BI北美热灭活胎牛血清04-121-1A-US,培养基
Gibco北美胚胎干细胞专用胎牛血清10439024,培养基
Gibco新西兰超低IGg胎牛血清1921005PJ,培养基
Gibco加拿大热灭活胎牛血清12484028,培养基
Sigma北美热灭活新生牛血清（美国）N4762,培养基
Sigma北美绵羊血清S2263,培养基
Bovogen澳洲新生牛血清（新西兰）SNCS-0.5,培养基
HyClone热灭活供体马血清SH30074.03HI,培养基
Bovogen巴西胎牛血清SFBS-B,培养基
Bovogen法国胎牛血清SFBS-F,培养基
Sigma北美马血清12449C,培养基
Sigma北美射线处理猪血清12737C,培养基
Sigma北美鸡血清C5405,培养基
Sigma北美小牛血清（美国）12133C,培养基
HyClone促生长型小牛血清SH30541.03,培养基
HyClone新西兰补铁新生牛血清SH30626.02,培养基
HyClone新西兰新生牛血清SH30401.01,培养基
HyClone射线处理补铁型小牛血清SH30072.03I,培养基
HyClone射线处理小牛血清SH30073.03IR,培养基
Gibco北美兔血清16120107,培养基
Gibco新西兰鸡血清16110082,培养基
Gibco新西兰供体牛血清W 10371029,培养基
Gibco新西兰供体牛血清16030074,培养基
HyClone热灭活新西兰加强型新生牛血清SH304,培养基
HyClone热灭活加强型小牛血清SH30087.03HI,培养基
HyClone热灭活促生长型小牛血清SH30541.03H,培养基
HyClone射线处理FetalClone III 血清SH3010,培养基
HyClone射线处理FetalClone II 血清SH30066,培养基
HyClone射线处理FetalClone I 血清SH30080.,培养基
HyClone FetalClone I 血清SH30080.03,培养基
Sigma热灭活胎牛血清（USDA认证区域）12306,培养基
Gibco北美胎牛血清26140079,培养基
Gibco澳洲间充质干细胞专用胎牛血清1266402,培养基
Gibco新西兰透析型胎牛血清30067334,培养基
Sigma北美射线处理胎牛血清（美国）12107C,培养基
Sigma北美热灭活胎牛血清（美国）F4135,培养基
Sigma澳洲热灭活胎牛血清12006C,培养基
Sigma北美透析型胎牛血清12105C,培养基
Sigma新西兰胎牛血清12207C,培养基
Sigma北美活性炭处理胎牛血清（美国）F6765,培养基
Gibco透析胎牛血清26400044,培养基
Gibco南美热灭活胎牛血清10500064,培养基
MCDB 201 Medium,培养基
MCDB 110 Medium,培养基
Ames Medium,培养基
Strawberry Multiplication Medium,培养基
Westvaco’s WV5 Medium,培养基
Anderson Rhododendron Medium,培养基
SITE+3 Supplement,培养基
SITE Supplement,培养基
"GS Supplement,50X",培养基
HyClone射线处理阿尔法牛血清（不含铁）SH3,培养基
HyClone热灭活干细胞专用胎牛血清SH30070.0,培养基
HyClone射线处理透析型胎牛血清SH30079.03I,培养基
HyClone四环素筛选专用特级胎牛血清SH30070,培养基
HyClone热灭活活性炭处理胎牛血清SH30068.0,培养基
HyClone中美胎牛血清SH30910.03,培养基
HyClone北美胎牛血清SH30088.03,培养基
HyClone热灭活南美胎牛血清SV30160.03HI,培养基
HyClone新西兰胎牛血清SH30406.02,培养基
HyClone加拿大胎牛血清SH30396.03,培养基
HyClone北美胎牛血清SH30071.03,培养基
HyClone照射处理澳洲胎牛血清SH30084.03IR,培养基
Schenk & Hildebrandt Modified Medium,培养基
香蕉增殖培养基（含维生素、酪蛋白水解物）,培养基
De Greef & Jacobs Medium,培养基
CHU (N6) Medium,培养基
Murashig & Skoog Microelements,培养基
Morel-Wetmore Vitamin Solution,培养基
Anderson Rhododendron Vitamins,培养基
Gresshoff & Doy (DBM2) Vitamins,培养基
Click Medium,培养基
Waymouth MB 752/1 Medium,培养基
L-15 Medium (Modified) Leibovitz,培养基
F-10培养基 With 20 mM HEPES,培养基
Sheilds-Sang M3昆虫培养基,培养基
M16 Medium,培养基
"青霉素-链霉素 (10,000 U/mL)培养基Gibco 1",培养基
Antibiotic-Antimycotic (100X)培养基Gibco,培养基
胰蛋白酶-EDTA (0.05%)培养基Gibco 2530005,培养基
Express Enzyme (1X)培养基Gibco 12605010,培养基
PBS培养基Gibco 70013032,培养基
PBS培养基Gibco 11965092,培养基
HBSS培养基Gibco 14025092,培养基
DPBS培养基Gibco 14190144,培养基
Advanced MEM培养基Gibco 12492013,培养基
199厄尔培养基Gibco 11150059,培养基
IMDM培养基Gibco 12440053,培养基
RPMI 1640培养基Gibco 72400047,培养基
MEM培养基Gibco 42360032,培养基
Lipofectamine 2000脂质体转染试剂Invitrog,培养基
DMEM/F-12培养基Gibco 11320033,培养基
RPMI 1640培养基Gibco 21870076,培养基
MEM培养基Gibco 11090081,培养基
MEM培养基Gibco 12561056,培养基
IMDM培养基Gibco 31980030,培养基
DMEM培养基Gibco 11965092,培养基
DMEM培养基Gibco 12430054,培养基
DMEM培养基Gibco 21063029,培养基
DMEM培养基Gibco 11960044,培养基
Banana Micropropagation Medium,培养基
M2 medium,培养基
HyClone北美胎牛血清SH30070.03,培养基
DMEM:F-12 Medium (ATCC 30-2006),培养基
Gemini北美马血清100-508,培养基
Gemini胎牛血清100-106,培养基
ATCC胎牛血清,培养基
L15培养基ATCC 30-2008,培养基
Gemini驴血清100-151,培养基
Murashige and Tucker Medium,培养基
PAN兔血清P30-1102,培养基
CMRL-1066 Medium,培养基
HyClone透析型胎牛血清SH30079.03,培养基
Gamborg B5 Medium,培养基
Gibco热灭活马血清26050088,培养基
Gibco新西兰新生牛血清16010159,培养基
GeminiGamma射线处理胎牛血清100-201,培养基
Gemini超低IgG胎牛血清100-120,培养基
Gemini鸡血清100-161,培养基
Gemini绵羊血清100-117,培养基
Gemini小鼠血清100-113,培养基
Gemini兔血清100-116,培养基
Gemini胚胎干细胞专用胎牛血清100-125,培养基
Gemini北美成年牛血清100-101,培养基
Gemini胎牛血清900-208,培养基
BI胎牛血清,培养基
Gibco南美胎牛血清10270106,培养基
Corning（USDA认证区域）胎牛血清35-010-CV,培养基
Corning北美超低IgG胎牛血清35-073-CV,培养基
Corning澳洲胎牛血清35-076-CV,培养基
PAN羔羊血清P30-0802,培养基
PAN驴血清P30-0102,培养基
PAN鸡血清P30-0302,培养基
PAN小牛血清P30-0602,培养基
Sigma北美兔血清（USDA认证区域）R4505,培养基
PAN超低IgG胎牛血清P30-2802,培养基
PAN南美透析型胎牛血清P30-2102,培养基
PAN北美胚胎干细胞专用胎牛血清P30-2609,培养基
PAN澳洲胎牛血清P40-49500,培养基
PAN北美胎牛血清P40-38500,培养基
PAN（EU认证区域）胎牛血清P30-8500,培养基
PAN北美胎牛血清P30-1402,培养基
PAN北美胎牛血清P30-1406,培养基
BI北美胎牛血清04-001-1A-US,培养基
Sigma北美山羊血清G6767,培养基
BI北美热灭活供体马血清04-124-1A,培养基
BI北美成年牛血清04-003-1A,培养基
BI北美射线处理胎牛血清04-111-1A-US,培养基
BI北美透析型胎牛血清04-011-1A-US,培养基
