name,category
pCRSjC-8,大肠杆菌载体
pRSET A/Spike protein,大肠杆菌载体
pCRII-TOPO/25-6,大肠杆菌载体
pCRII-TOPO/21-2,大肠杆菌载体
pCRII-TOPO/-16-7,大肠杆菌载体
SARS Frag. 12 pCRII-TOPO,大肠杆菌载体
SARS Frag. 8/yT&A,大肠杆菌载体
SARS Frag. 6 pCRII-TOPO,大肠杆菌载体
pNC36,大肠杆菌载体
pMHC1-150/Arg7,大肠杆菌载体
pMTDC,大肠杆菌载体
VgD1,大肠杆菌载体
pCB2,大肠杆菌载体
pIJ702-87LEdel(78-86),大肠杆菌载体
pIJ702-35I,大肠杆菌载体
pHL545,大肠杆菌载体
pRSVADH,大肠杆菌载体
pMSV-2,大肠杆菌载体
pB1,大肠杆菌载体
pXbs201,大肠杆菌载体
pHh5G(H2a),大肠杆菌载体
pMKS-1-S,大肠杆菌载体
pMKS-1,大肠杆菌载体
pJHAM002,大肠杆菌载体
RM53,大肠杆菌载体
RM30,大肠杆菌载体
pMUTIN-FLAG,大肠杆菌载体
pDG148-Stu,大肠杆菌载体
pMUTIN-GFP+,大肠杆菌载体
pMYX10,大肠杆菌载体
pCB1536,大肠杆菌载体
pLH1,大肠杆菌载体
pMTR::HYG,大肠杆菌载体
pUCD1752,大肠杆菌载体
pSW102,大肠杆菌载体
pBARGEM7-2,大肠杆菌载体
pBARKS1,大肠杆菌载体
pHY201,大肠杆菌载体
pDE3,大肠杆菌载体
pES200,大肠杆菌载体
pHL1,大肠杆菌载体
pET28a-sumo,大肠杆菌载体
pNF-κB-Luc,大肠杆菌载体
pSPL3,大肠杆菌载体
pBad33,大肠杆菌载体
pET-fasG,大肠杆菌载体
pEGM-3ZF(+),大肠杆菌载体
pET-41Ek/LIC,大肠杆菌载体
pTYB4,大肠杆菌载体
pLpp-STII,大肠杆菌载体
pGEM-7Zf(+),大肠杆菌载体
pKillerRed-B,大肠杆菌载体
pET22b-EGFP,大肠杆菌载体
pETBlue-2,大肠杆菌载体
pET-28a(+),大肠杆菌载体
pMCSG7,大肠杆菌载体
pCR2.1-TOPO,大肠杆菌载体
pART27,大肠杆菌载体
pQE-22,大肠杆菌载体
pRSET-EGFP,大肠杆菌载体
pCWori,大肠杆菌载体
pED-GST-pp-air,大肠杆菌载体
pET-38b(+),大肠杆菌载体
pMBP-C,大肠杆菌载体
pET-3c-sumo,大肠杆菌载体
R6K,大肠杆菌载体
pMON546,大肠杆菌载体
pBSE1,大肠杆菌载体
EWD299,大肠杆菌载体
pCR2.1-TOPO vector+104-2,大肠杆菌载体
pCR2.1-TOPO vector+55-3,大肠杆菌载体
pNDH09,大肠杆菌载体
pCR13-3,大肠杆菌载体
pCR9-10,大肠杆菌载体
pCREj-2,大肠杆菌载体
pCRSjN-1,大肠杆菌载体
pRSET A/NC,大肠杆菌载体
pCRII-TOPO/24-5,大肠杆菌载体
pCRII-TOPO/20-7,大肠杆菌载体
pCRII-TOPO/-15-1,大肠杆菌载体
SARS Frag. 11 pCRII-TOPO,大肠杆菌载体
pCRII-TOPO/-2-7II,大肠杆菌载体
SARS Frag. 5 pCRII-TOPO,大肠杆菌载体
pMHC1-150/Pro7,大肠杆菌载体
pMHC1-150,大肠杆菌载体
pMH3/3097-HisC,大肠杆菌载体
VaD1,大肠杆菌载体
pSP105,大肠杆菌载体
"pIJ702-87del(78-86, 88-132)",大肠杆菌载体
pMCG1035,大肠杆菌载体
pPL376,大肠杆菌载体
pSVv-myc,大肠杆菌载体
pMSV-1,大肠杆菌载体
pE,大肠杆菌载体
pRM18,大肠杆菌载体
pHu4A,大肠杆菌载体
pMKS-1-D,大肠杆菌载体
pJHAM005,大肠杆菌载体
pDG364,大肠杆菌载体
RM34,大肠杆菌载体
pHCMC02,大肠杆菌载体
Escherichia coli BGSC ECE144,大肠杆菌载体
pNW33N,大肠杆菌载体
pMUTIN-HA,大肠杆菌载体
pMYX2,大肠杆菌载体
pCB1535,大肠杆菌载体
pI258,大肠杆菌载体
pWF1,大肠杆菌载体
pUCD800,大肠杆菌载体
pAEA5,大肠杆菌载体
pBARGEM5-1,大肠杆菌载体
pILJ16,大肠杆菌载体
pSUMN18,大肠杆菌载体
pDE2,大肠杆菌载体
pHEK10,大肠杆菌载体
pG1,大肠杆菌载体
pSTAT3-TA-Luc,哺乳动物载体
pFRT/lacZeo,哺乳动物载体
pCMV-FLAG-N,哺乳动物载体
pEF-myc-ER-GFP,哺乳动物载体
pNF-kB-Luc,哺乳动物载体
NL4-3-ΔEnv-EGFP,哺乳动物载体
pcDNA6-Flag-N/Myc-His,哺乳动物载体
pMEP4,哺乳动物载体
pYr-adshuttle-3,哺乳动物载体
pEF1/myc-His lacZ,哺乳动物载体
AAVS1-Neo-M2rtTA,哺乳动物载体
pCEP4-DsRed2,哺乳动物载体
pCEP4-Flag-N,哺乳动物载体
pcDNA3.1-T2A-EGFP,哺乳动物载体
pNLF1-N [CMV/Hygro],哺乳动物载体
pAAV-RC5,哺乳动物载体
FUW-tetO-MCS,哺乳动物载体
pCDNA3.1-Nanog,哺乳动物载体
pcDNA5/TO,哺乳动物载体
pGL4.45[luc2P/ISRE/Hygro],哺乳动物载体
phCMV1,哺乳动物载体
pCAGGS-EGFP,哺乳动物载体
pNL1.3[secNluc],哺乳动物载体
pEF6/V5-His B,哺乳动物载体
pCDNA3.0-HA-N,哺乳动物载体
pGene/V5-His C,哺乳动物载体
pNL3.3[secNluc/minP],哺乳动物载体
pDsRed-Monomer-C1,哺乳动物载体
pGL4.35[luc2P/9XGAL4UAS/Hygro],哺乳动物载体
pRNAT-U6.1/neo,哺乳动物载体
pGL4.18[luc2P/Neo],哺乳动物载体
eSpCas9-LentiCRISPR v2,哺乳动物载体
pGFP-Rab8A[T22N],哺乳动物载体
pLKO.1-EGFP-puro,哺乳动物载体
pRK5-HA,哺乳动物载体
pAdVAntage,哺乳动物载体
